#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Total,Average,Generation,Legendary
77,Ponyta,Fire,nan,50,85,55,65,65,90,410,68.33,1,0
77,Ponyta (Galarian form),Psychic,nan,50,85,55,65,65,90,410,68.33,1,0
78,Rapidash,Fire,Poison,65,100,70,80,80,105,500,83.33,1,0
78,Rapidash (Galarian form),Psychic,Fairy,65,100,70,80,80,105,500,83.33,1,0
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,52.5,1,0
79,Slowpoke (Galarian form),Psychic,nan,90,65,65,40,40,15,315,52.5,1,0
80,Slowbro,Psychic,nan,95,75,110,100,80,30,490,81.67,1,0
80,Slowbro (Mega Slowbro),Psychic,nan,95,75,180,130,80,30,590,98.33,1,0
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,54.17,1,0
82,Magneton,Electric,Steel,50,60,95,120,70,70,465,77.5,1,0
83,Farfetch'd,Normal,Flying,52,90,55,58,62,60,377,62.83,1,0
83,Farfetch'd (Galarian form),Fighting,nan,52,95,55,58,62,55,377,62.83,1,0
84,Doduo,Normal,Flying,35,85,45,35,35,75,310,51.67,1,0
85,Dodrio,Normal,Flying,60,110,70,60,60,110,470,78.33,1,0
86,Seel,Water,nan,65,45,55,45,70,45,325,54.17,1,0
87,Dewgong,Water,Ice,90,70,80,70,95,70,475,79.17,1,0
88,Grimer,Poison,nan,80,80,50,40,50,25,325,54.17,1,0
88,Grimer (Alolan Grimer),Poison,Dark,80,80,50,40,50,25,325,54.17,1,0
89,Muk,Poison,nan,105,105,75,65,100,50,500,83.33,1,0
89,Muk (Alolan Muk),Poison,Dark,105,105,75,65,100,50,500,83.33,1,0
90,Shellder,Water,nan,30,65,100,45,25,40,305,50.83,1,0
91,Cloyster,Water,Ice,50,95,180,85,45,70,525,87.5,1,0
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,51.67,1,0
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,67.5,1,0
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,83.33,1,0
94,Gengar (Mega Gengar),Ghost,Poison,60,65,80,170,95,130,600,100,1,0
95,Onix,Rock,Ground,35,45,160,30,45,70,385,64.17,1,0
96,Drowzee,Psychic,nan,60,48,45,43,90,42,328,54.67,1,0
97,Hypno,Psychic,nan,85,73,70,73,115,67,483,80.5,1,0
98,Krabby,Water,nan,30,105,90,25,25,50,325,54.17,1,0
99,Kingler,Water,nan,55,130,115,50,50,75,475,79.17,1,0
100,Voltorb,Electric,nan,40,30,50,55,55,100,330,55,1,0
101,Electrode,Electric,nan,60,50,70,80,80,150,490,81.67,1,0
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,54.17,1,0
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,88.33,1,0
103,Exeggutor (Alolan Exeggutor),Grass,Dragon,95,105,85,125,75,45,530,88.33,1,0
104,Cubone,Electric,nan,50,50,95,40,50,35,320,53.33,1,0
105,Marowak,Ground,nan,60,80,110,50,80,45,425,70.83,1,0
105,Marowak (Alolan Marowak),Ground,nan,60,80,110,50,80,45,425,70.83,1,0
106,Hitmonlee,Fighting,nan,50,120,53,35,110,87,455,75.83,1,0
107,Hitmonchan,Fighting,nan,50,105,79,35,110,76,455,75.83,1,0
108,Lickitung,Normal,nan,90,55,75,60,75,30,385,64.17,1,0
109,Koffing,Poison,nan,40,65,95,60,45,35,340,56.67,1,0
110,Weezing,Poison,nan,65,90,120,85,70,60,490,81.67,1,0
110,Weezing (Galarian form),Poison,Fairy,65,90,120,85,70,60,490,81.67,1,0
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,57.5,1,0
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,80.83,1,0
113,Chansey,Normal,nan,250,5,5,35,105,50,450,75,1,0
114,Tangela,Grass,nan,65,55,115,100,40,60,435,72.5,1,0
115,Kangaskhan,Normal,nan,105,95,80,40,80,90,490,81.67,1,0
115,Kangaskhan (Mega Kangaskhan),Normal,nan,105,125,100,60,100,100,590,98.33,1,0
116,Horsea,Water,nan,30,40,70,70,25,60,295,49.17,1,0
117,Seadra,Water,nan,55,65,95,95,45,85,440,73.33,1,0
118,Goldeen,Water,nan,45,67,60,35,50,63,320,53.33,1,0
119,Seaking,Water,nan,80,92,65,65,80,68,450,75,1,0
120,Staryu,Water,nan,30,45,55,70,55,85,340,56.67,1,0
121,Starmie,Water,Psychic,60,75,85,100,85,115,520,86.67,1,0
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,76.67,1,0
122,Mr. Mime (Galarian form),Ice,Psychic,50,65,65,90,90,100,460,76.67,1,0
123,Scyther,Bug,Flying,70,110,80,55,80,105,500,83.33,1,0
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455,75.83,1,0
125,Electabuzz,Electric,nan,65,83,57,95,85,105,490,81.67,1,0
126,Magmar,Fire,nan,65,95,57,100,85,93,495,82.5,1,0
127,Pinsir,Bug,nan,65,125,100,55,70,85,500,83.33,1,0
127,Pinsir (Mega Pinsir),Bug,Flying,65,155,120,65,90,105,600,100,1,0
128,Tauros,Normal,nan,75,100,95,40,70,110,490,81.67,1,0
129,Magikarp,Water,nan,20,10,55,15,20,80,200,33.33,1,0
130,Gyarados,Water,Flying,95,125,79,60,100,81,540,90,1,0
130,Gyarados (Mega Gyarados),Water,Dark,95,155,109,70,130,81,640,106.67,2,0
131,Lapras,Water,Ice,130,85,80,85,95,60,535,89.17,2,0
132,Ditto,Normal,nan,48,48,48,48,48,48,288,48,2,0
133,Eevee,Normal,nan,55,55,50,45,65,55,325,54.17,2,0
133,Eevee (Partner Eevee),Normal,nan,65,75,70,65,85,75,435,72.5,2,0
134,Vaporeon,Water,nan,130,65,60,110,95,65,525,87.5,2,0
135,Jolteon,Electric,nan,65,65,60,110,95,130,525,87.5,2,0
136,Flareon,Fire,nan,65,130,60,95,110,65,525,87.5,2,0
137,Porygon,Normal,nan,65,60,70,85,75,40,395,65.83,2,0
138,Omanyte,Rock,Water,35,40,100,90,55,35,355,59.17,2,0
139,Omastar,Rock,Water,70,60,125,115,70,55,495,82.5,2,0
140,Kabuto,Rock,Water,30,80,90,55,45,55,355,59.17,2,0
141,Kabutops,Rock,Water,60,115,105,65,70,80,495,82.5,2,0
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515,85.83,2,0
142,Aerodactyl (Mega Aerodactyl),Bug,Flying,80,135,85,70,95,150,615,102.5,2,0
143,Snorlax,Normal,nan,160,110,65,65,110,30,540,90,2,0
144,Articuno,Ice,Flying,90,85,100,95,125,85,580,96.67,2,0
145,Zapdos,Electric,Flying,90,90,85,125,90,100,580,96.67,2,1
146,Moltres,Fire,Flying,90,100,90,125,85,90,580,96.67,2,1
147,Dratini,Dragon,nan,41,64,45,50,50,50,300,50,2,1
148,Dragonair,Dragon,nan,61,84,65,70,70,70,420,70,2,0
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600,100,2,0
150,Mewtwo,Psychic,nan,106,110,90,154,90,130,680,113.33,2,1
150,Mewtwo (Mega Mewtwo X),Psychic,nan,106,190,100,154,100,130,780,130,2,1
150,Mewtwo (Mega Mewtwo Y),Psychic,nan,106,150,70,194,120,140,780,130,2,1
151,Mew,Psychic,nan,100,100,100,100,100,100,600,100,2,0
152,Chikorita,Grass,nan,45,49,65,49,65,45,318,53,2,0
153,Bayleef,Grass,nan,60,62,80,63,80,60,405,67.5,2,0
154,Meganium,Grass,nan,80,82,100,83,100,80,525,87.5,2,0
155,Cyndaquil,Fire,nan,39,52,43,60,50,65,309,51.5,2,0
156,Quilava,Fire,nan,58,64,58,80,65,80,405,67.5,2,0
157,Typhlosion,Fire,nan,78,84,78,109,85,100,534,89,2,0
158,Totodile,Water,nan,50,65,64,44,48,43,314,52.33,2,0
159,Croconaw,Water,nan,65,80,80,59,63,58,405,67.5,2,0
160,Feraligatr,Water,nan,85,105,100,79,83,78,530,88.33,2,0
161,Sentret,Normal,nan,35,46,34,35,45,20,215,35.83,2,0
162,Furret,Normal,nan,85,76,64,45,55,90,415,69.17,2,0
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262,43.67,2,0
164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,75.33,2,0
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265,44.17,2,0
166,Ledian,Bug,Flying,55,35,50,55,110,85,390,65,2,0
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250,41.67,2,0
168,Ariados,Bug,Poison,70,90,70,60,70,40,400,66.67,2,0
169,Crobat,Poison,Flying,85,90,80,70,80,130,535,89.17,2,0
170,Chinchou,Water,Electric,75,38,38,56,56,67,330,55,2,0
171,Lanturn,Water,Electric,125,58,58,76,76,67,460,76.67,2,0
172,Pichu,Electric,nan,20,40,15,35,35,60,205,34.17,2,0
173,Cleffa,Fairy,nan,50,25,28,45,55,15,218,36.33,2,0
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,210,35,2,0
175,Togepi,Fairy,nan,35,20,65,40,65,20,245,40.83,2,0
176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,67.5,2,0
177,Natu,Psychic,Flying,40,50,45,70,45,70,320,53.33,2,0
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,78.33,2,0
179,Mareep,Electric,nan,55,40,40,65,45,35,280,46.67,2,0
180,Flaaffy,Electric,nan,70,55,55,80,60,45,365,60.83,2,0
181,Ampharos,Electric,nan,90,75,85,115,90,55,510,85,2,0
181,Ampharos (Mega Ampharos),Electric,Dragon,90,95,105,165,110,45,610,101.67,2,0
182,Bellossom,Grass,nan,75,80,95,90,100,50,490,81.67,2,0
183,Marill,Water,Fairy,70,20,50,20,50,40,250,41.67,2,0
184,Azumarill,Water,Fairy,100,50,80,60,80,50,420,70,2,0
185,Sudowoodo,Rock,nan,70,100,115,30,65,30,410,68.33,2,0
186,Politoed,Water,nan,90,75,75,90,100,70,500,83.33,2,0
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250,41.67,2,0
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340,56.67,2,0
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460,76.67,2,0
190,Aipom,Normal,nan,55,70,55,40,55,85,360,60,2,0
191,Sunkern,Grass,nan,30,30,30,30,30,30,180,30,2,0
192,Sunflora,Grass,nan,75,75,55,105,85,30,425,70.83,2,0
193,Yanma,Bug,Flying,65,65,45,75,45,95,390,65,2,0
194,Wooper,Water,Ground,55,45,45,25,25,15,210,35,2,0
195,Quagsire,Water,Ground,95,85,85,65,65,35,430,71.67,2,0
196,Espeon,Psychic,nan,65,65,60,130,95,110,525,87.5,2,0
197,Umbreon,Dark,nan,95,65,110,60,130,65,525,87.5,2,0
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405,67.5,2,0
199,Slowking,Water,Psychic,95,75,80,100,110,30,490,81.67,2,0
200,Misdreavus,Ghost,nan,60,60,60,85,85,85,435,72.5,2,0
201,Unown,Psychic,nan,48,72,48,72,48,48,336,56,2,0
202,Wobbuffet,Psychic,nan,190,33,58,33,58,33,405,67.5,2,0
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455,75.83,2,0
204,Pineco,Bug,nan,50,65,90,35,35,15,290,48.33,2,0
205,Forretress,Bug,Steel,75,90,140,60,60,40,465,77.5,2,0
206,Dunsparce,Normal,nan,100,70,70,65,65,45,415,69.17,2,0
207,Gligar,Ground,Flying,65,75,105,35,65,85,430,71.67,2,0
208,Steelix,Steel,Ground,75,85,200,55,65,30,510,85,2,0
208,Steelix (Mega Steelix),Steel,Ground,75,125,230,55,95,30,610,101.67,2,0
209,Snubbull,Fairy,nan,60,80,50,40,40,30,300,50,2,0
210,Granbull,Fairy,nan,90,120,75,60,60,45,450,75,2,0
211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,73.33,2,0
212,Scizor,Bug,Steel,70,130,100,55,80,65,500,83.33,2,0
212,Scizor (Mega Scizor),Bug,Steel,70,150,140,65,100,75,600,100,2,0
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,84.17,2,0
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500,83.33,2,0
214,Heracross (Mega Heracross),Bug,Fighting,80,185,115,40,105,75,600,100,2,0
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,71.67,2,0
216,Teddiursa,Normal,nan,60,80,50,50,50,40,330,55,2,0
217,Ursaring,Normal,nan,90,130,75,75,75,55,500,83.33,2,0
218,Slugma,Fire,nan,40,40,40,70,40,20,250,41.67,2,0
219,Magcargo,Fire,Rock,60,50,120,90,80,30,430,71.67,2,0
220,Swinub,Ice,Ground,50,50,40,30,30,50,250,41.67,2,0
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,75,2,0
222,Corsola,Water,Rock,65,55,95,65,95,35,410,68.33,2,0
222,Corsola (Galarian form),Ghost,nan,60,55,100,65,100,30,410,68.33,2,0
223,Remoraid,Water,nan,35,65,35,65,35,65,300,50,2,0
224,Octillery,Water,nan,75,105,75,105,75,45,480,80,2,0
225,Delibird,Ice,Flying,45,55,45,65,45,75,330,55,2,0
226,Mantine,Water,Flying,85,40,70,80,140,70,485,80.83,2,0
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465,77.5,3,0
228,Houndour,Dark,Fire,45,60,30,80,50,65,330,55,3,0
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500,83.33,3,0
229,Houndoom (Mega Houndoom),Dark,Fire,75,90,90,140,90,115,600,100,3,0
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540,90,3,0
231,Phanpy,Ground,nan,90,60,60,40,40,40,330,55,3,0
232,Donphan,Ground,nan,90,120,120,60,60,50,500,83.33,3,0
233,Porygon2,Normal,nan,85,80,90,105,95,60,515,85.83,3,0
234,Stantler,Normal,nan,73,95,62,85,65,85,465,77.5,3,0
235,Smeargle,Normal,nan,55,20,35,20,45,75,250,41.67,3,0
236,Tyrogue,Fighting,nan,35,35,35,35,35,35,210,35,3,0
237,Hitmontop,Fighting,nan,50,95,95,35,110,70,455,75.83,3,0
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305,50.83,3,0
239,Elekid,Electric,nan,45,63,37,65,55,95,360,60,3,0
240,Magby,Fire,nan,45,75,37,70,55,83,365,60.83,3,0
241,Miltank,Normal,nan,95,80,105,40,70,100,490,81.67,3,0
242,Blissey,Normal,nan,255,10,10,75,135,55,540,90,3,0
243,Raikou,Electric,nan,90,85,75,115,100,115,580,96.67,3,1
244,Entei,Fire,nan,115,115,85,90,75,100,580,96.67,3,1
245,Suicune,Water,nan,100,75,115,90,115,85,580,96.67,3,1
246,Larvitar,Rock,Ground,50,64,50,45,50,41,300,50,3,0
247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,68.33,3,0
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600,100,3,0
248,Tyranitar (Mega Tyranitar),Rock,Dark,100,164,150,95,120,71,700,116.67,3,0
249,Lugia,Psychic,Flying,106,90,130,90,154,110,680,113.33,3,1
250,Ho-Oh,Fire,Flying,106,130,90,110,154,90,680,113.33,3,1
251,Celebi,Psychic,Grass,100,100,100,100,100,100,600,100,3,0
252,Treecko,Grass,nan,40,45,35,65,55,70,310,51.67,3,0
253,Grovyle,Grass,nan,50,65,45,85,65,95,405,67.5,3,0
254,Sceptile,Grass,nan,70,85,65,105,85,120,530,88.33,3,0
254,Sceptile (Mega Sceptile),Grass,Dragon,70,110,75,145,85,145,630,105,3,0
255,Torchic,Fire,nan,45,60,40,70,50,45,310,51.67,3,0
256,Combusken,Fire,Fighting,60,85,60,85,60,55,405,67.5,3,0
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,530,88.33,3,0
257,Blaziken (Mega Blaziken),Fire,Fighting,80,160,80,130,80,100,630,105,3,0
258,Mudkip,Water,nan,50,70,50,50,50,40,310,51.67,3,0
259,Marshtomp,Water,Ground,70,85,70,60,70,50,405,67.5,3,0
260,Swampert,Water,Ground,100,110,90,85,90,60,535,89.17,3,0
260,Swampert (Mega Swampert),Water,Ground,100,150,110,95,110,70,635,105.83,3,0
261,Poochyena,Dark,nan,35,55,35,30,30,35,220,36.67,3,0
262,Mightyena,Dark,nan,70,90,70,60,60,70,420,70,3,0
263,Zigzagoon,Normal,nan,38,30,41,30,41,60,240,40,3,0
263,Zigzagoon (Galarian form),Dark,Normal,38,30,41,30,41,60,240,40,3,0
264,Linoone,Normal,nan,78,70,61,50,61,100,420,70,3,0
264,Linoone (Galarian form),Dark,Normal,78,70,61,50,61,100,420,70,3,0
265,Wurmple,Bug,nan,45,45,35,20,30,20,195,32.5,3,0
266,Silcoon,Bug,nan,50,35,55,25,25,15,205,34.17,3,0
267,Beautifly,Bug,Flying,60,70,50,100,50,65,395,65.83,3,0
268,Cascoon,Bug,nan,50,35,55,25,25,15,205,34.17,3,0
269,Dustox,Bug,Poison,60,50,70,50,90,65,385,64.17,3,0
270,Lotad,Water,Grass,40,30,30,40,50,30,220,36.67,3,0
271,Lombre,Water,Grass,60,50,50,60,70,50,340,56.67,3,0
272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,80,3,0
273,Seedot,Grass,nan,40,40,50,30,30,30,220,36.67,3,0
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,340,56.67,3,0
275,Shiftry,Grass,Dark,90,100,60,90,60,80,480,80,3,0
276,Taillow,Normal,Flying,40,55,30,30,30,85,270,45,3,0
277,Swellow,Normal,Flying,60,85,60,75,50,125,455,75.83,3,0
278,Wingull,Water,Flying,40,30,30,55,30,85,270,45,3,0
279,Pelipper,Water,Flying,60,50,100,95,70,65,440,73.33,3,0
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198,33,3,0
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,46.33,3,0
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518,86.33,3,0
282,Gardevoir (Mega Gardevoir),Psychic,Fairy,68,85,65,165,135,100,618,103,3,0
283,Surskit,Bug,Water,40,30,32,50,52,65,269,44.83,3,0
284,Masquerain,Bug,Flying,70,60,62,100,82,80,454,75.67,3,0
285,Shroomish,Grass,nan,60,40,60,40,60,35,295,49.17,3,0
286,Breloom,Grass,Fighting,60,130,80,60,60,70,460,76.67,3,0
287,Slakoth,Normal,nan,60,60,60,35,35,30,280,46.67,3,0
288,Vigoroth,Normal,nan,80,80,80,55,55,90,440,73.33,3,0
289,Slaking,Normal,nan,150,160,100,95,65,100,670,111.67,3,0
290,Nincada,Bug,Ground,31,45,90,30,30,40,266,44.33,3,0
291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,76,3,0
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,39.33,3,0
293,Whismur,Normal,nan,64,51,23,51,23,28,240,40,3,0
294,Loudred,Normal,nan,84,71,43,71,43,48,360,60,3,0
295,Exploud,Normal,nan,104,91,63,91,73,68,490,81.67,3,0
296,Makuhita,Fighting,nan,72,60,30,20,30,25,237,39.5,3,0
297,Hariyama,Fighting,nan,144,120,60,40,60,50,474,79,3,0
298,Azurill,Normal,Fairy,50,20,40,20,40,20,190,31.67,3,0
299,Nosepass,Rock,nan,30,45,135,45,90,30,375,62.5,3,0
300,Skitty,Normal,nan,50,45,45,35,35,50,260,43.33,3,0
301,Delcatty,Normal,nan,70,65,65,55,55,90,400,66.67,3,0
302,Sableye,Dark,Ghost,50,75,75,65,65,50,380,63.33,3,0
302,Sableye (Mega Sableye),Dark,Ghost,50,85,125,85,115,20,480,80,3,0
303,Mawile,Steel,Fairy,50,85,85,55,55,50,380,63.33,3,0
303,Mawile (Mega Mawile),Steel,Fairy,50,105,125,55,95,50,480,80,3,0
304,Aron,Steel,Rock,50,70,100,40,40,30,330,55,3,0
305,Lairon,Steel,Rock,60,90,140,50,50,40,430,71.67,3,0
